X X-Ray Coordinate,Y X-Ray Coordinate,Z X-Ray Coordinate,X Pixel Index,Y Pixel Index,Charge Fraction
1,3,3,0,0,3.20008e-07
1,3,4,0,0,4.14318e-07
1,3,5,0,0,4.98425e-07
1,3,6,0,0,5.70259e-07
1,3,7,0,0,6.28052e-07
1,3,8,0,0,6.7038e-07
1,3,9,0,0,6.96201e-07
1,3,10,0,0,7.04879e-07
1,4,0,0,0,0
1,4,1,0,0,9.62039e-08
1,4,2,0,0,1.90039e-07
1,4,3,0,0,2.79195e-07
1,4,4,0,0,3.61476e-07
1,4,5,0,0,4.34856e-07
1,4,6,0,0,4.97529e-07
1,4,7,0,0,5.4795e-07
1,4,8,0,0,5.8488e-07
1,4,9,0,0,6.07408e-07
1,4,10,0,0,6.14979e-07
1,5,0,0,0,0
1,5,1,0,0,8.37956e-08
1,5,2,0,0,1.65528e-07
1,5,3,0,0,2.43184e-07
1,5,4,0,0,3.14853e-07
1,5,5,0,0,3.78768e-07
1,5,6,0,0,4.33358e-07
1,5,7,0,0,4.77276e-07
1,5,8,0,0,5.09442e-07
1,5,9,0,0,5.29065e-07
1,5,10,0,0,5.35659e-07
1,6,0,0,0,0
1,6,1,0,0,7.28672e-08
1,6,2,0,0,1.4394e-07
1,6,3,0,0,2.11469e-07
1,6,4,0,0,2.73791e-07
1,6,5,0,0,3.2937e-07
1,6,6,0,0,3.7684e-07
1,6,7,0,0,4.15031e-07
1,6,8,0,0,4.43002e-07
1,6,9,0,0,4.60065e-07
1,6,10,0,0,4.658e-07
1,7,0,0,0,0
1,7,1,0,0,6.32595e-08
1,7,2,0,0,1.24961e-07
1,7,3,0,0,1.83586e-07
1,7,4,0,0,2.37691e-07
1,7,5,0,0,2.85942e-07
1,7,6,0,0,3.27153e-07
1,7,7,0,0,3.60308e-07
1,7,8,0,0,3.84592e-07
1,7,9,0,0,3.99405e-07
1,7,10,0,0,4.04383e-07
1,8,0,0,0,0
1,8,1,0,0,5.48279e-08
1,8,2,0,0,1.08306e-07
1,8,3,0,0,1.59117e-07
1,8,4,0,0,2.0601e-07
1,8,5,0,0,2.4783e-07
1,8,6,0,0,2.83548e-07
1,8,7,0,0,3.12285e-07
1,8,8,0,0,3.33331e-07
1,8,9,0,0,3.4617e-07
1,8,10,0,0,3.50485e-07
1,9,0,0,0,0
1,9,1,0,0,4.74417e-08
1,9,2,0,0,9.37152e-08
1,9,3,0,0,1.37681e-07
1,9,4,0,0,1.78257e-07
1,9,5,0,0,2.14443e-07
1,9,6,0,0,2.4535e-07
1,9,7,0,0,2.70214e-07
1,9,8,0,0,2.88426e-07
1,9,9,0,0,2.99535e-07
1,9,10,0,0,3.03269e-07
1,10,0,0,0,0
1,10,1,0,0,4.09826e-08
1,10,2,0,0,8.09561e-08
1,10,3,0,0,1.18936e-07
1,10,4,0,0,1.53988e-07
1,10,5,0,0,1.85247e-07
1,10,6,0,0,2.11946e-07
1,10,7,0,0,2.33425e-07
1,10,8,0,0,2.49157e-07
1,10,9,0,0,2.58754e-07
1,10,10,0,0,2.61979e-07
2,0,0,0,0,0
2,0,1,0,0,1.43828e-07
2,0,2,0,0,2.84114e-07
2,0,3,0,0,4.17405e-07
2,0,4,0,0,5.40417e-07
2,0,5,0,0,6.50123e-07
2,0,6,0,0,7.43821e-07
2,0,7,0,0,8.19203e-07
2,0,8,0,0,8.74414e-07
2,0,9,0,0,9.08093e-07
2,0,10,0,0,9.19413e-07
2,1,0,0,0,0
2,1,1,0,0,1.26178e-07
2,1,2,0,0,2.49249e-07
